Season;Date;Location;Event Type;Event Name;Round Number;Round Name;Player;Player ID;Club;Game Number;Score;Handicap;Cumulative Score;Stage Rank;Cut Line;Overall Cumulative Score
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Abaddon the Despoiler;54558;Warhammer 40K - Chaos;0;228;0;228;7;;228
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Anubis;175219;Egyptian Myth - Underworld Powers;0;208;0;208;20;;208
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Balor;139930;Celtic Myth - Fomorians;0;229;0;229;6;;229
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Bres;112221;Celtic Myth - Fomorians;0;208;0;208;21;;208
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Commander Shepard;85142;Mass Effect - Alliance Crew;0;198;0;198;31;;198
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Cronus;174393;Greek Myth - Titans & Primordials;0;187;0;187;36;;187
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Darth Vader;68024;Star Wars - Sith Empire;0;240;0;240;2;;240
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Feyd-Rautha;56698;Dune - Harkonnen-Sardaukar;0;208;0;208;22;;208
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Gandalf;98265;Lord of the Rings - Free Peoples;0;222;0;222;9;;222
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Gowron;52847;Star Trek - Klingon-Romulan;0;205;0;205;26;;205
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Harbinger;69213;Mass Effect - Cerberus-Reapers;0;215;0;215;15;;215
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Harry Potter;52082;Harry Potter - Order of the Phoenix;0;240;0;240;3;;240
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Horus;174473;Egyptian Myth - Solar Court;0;177;0;177;38;;177
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Illusive Man;86178;Mass Effect - Cerberus-Reapers;0;212;0;212;17;;212
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Indra;124470;Hindu Myth - Devas;0;212;0;212;18;;212
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Ishtar;172470;Mesopotamian Myth - Sky Kings;0;157;0;157;40;;157
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Jean-Luc Picard;56338;Star Trek - Federation;0;216;0;216;13;;216
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Jon Snow;86781;Game of Thrones - Stark-Targaryen Alliance;0;217;0;217;11;;217
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Kyle Katarn;79439;LucasArts Games - Jedi Knight Era;0;197;0;197;33;;197
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;LeChuck;60463;LucasArts Games - Monkey Island & Legacy;0;206;0;206;25;;206
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Loki;150650;Norse Myth - Giants & Tricksters;0;205;0;205;27;;205
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Lord Voldemort;65247;Harry Potter - Death Eaters;0;207;0;207;24;;207
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Lugh;174647;Celtic Myth - Tuatha De Danann;0;204;0;204;28;;204
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Luke Skywalker;91905;Star Wars - Jedi Order;0;197;0;197;34;;197
